Id, SCAD, #Tri, c_in, c_out, No CAD, No Inv, Ruler
TackleBox,48,280,280.0188289999999,26.013113999999998,60.01015399999999,41.00453400000001,41.00455
SDCardRack,13,236,206.01656799999998,26.012065,57.00216,48.993218,27.991061000000002
SingleRowHolder,10,320,198.01240500000003,16.01406,31.015068999999997,37.99228299999999,16.01406
CircleCell,14,124,79.00516300000001,16.008045,31.008066,16.008049,16.008045
CNCBitCase,59,268,219.01750300000003,15.008035,27.006062999999997,27.001072999999998,15.998036999999998
CassetteStorage,13,172,141.01135499999998,15.005053,27.005076000000003,24.992117999999998,15.005053
RaspberryPiCover,34,332,271.02176499999996,12.008040999999999,27.00808,31.992323999999996,12.008040999999999
ChargingStation,45,192,141.01131,15.024054,27.014065,28.986085,24.989056
CardFramer,11,200,172.01248,42.00832,82.975363,42.00832,42.00832
HexWrenchHolder,13,516,317.01963400000005,16.017062000000003,31.018071,51.99245099999999,51.99245099999999